movie_title,average_score
!Women Art Revolution,69.33333333333333
#Horror,51.6
#Unfit: The Psychology of Donald Trump,74.08333333333333
$ (Dollars) (The Heist),77.5
$9.99,65.83333333333333
$ellebrity,60.0
'71,71.52970297029702
'Breaker' Morant,78.75
'R Xmas,64.8
'Round Midnight,80.0
'X'---The Man With the X-Ray Eyes,65.625
(Untitled),61.98275862068966
*batteries not included,65.0
+1,67.8125
...And God Spoke (The Making of '...And God Spoke'),71.42857142857143
...And Justice for All,69.93333333333334
...So Goes the Nation,67.14285714285714
1 Night (One Night),70.0
"1,000 Times Good Night",61.47435897435897
10,59.375
10 Cent Pistol,54.375
10 Cloverfield Lane,73.03349282296651
10 MPH,60.0
10 Minutes Gone,30.833333333333332
10 Questions for the Dalai Lama,61.5
10 Rules For Sleeping Around,3.3333333333333335
10 Things I Hate About You,63.40425531914894
10 Years,59.5695652173913
10 to Midnight,46.666666666666664
"10,000 B.C.",37.50706214689265
100 Bloody Acres,63.958333333333336
100 Girls,63.375
100 Streets,50.26923076923077
1001 Grams,69.79166666666667
101 Dalmatians,75.10714285714286
101 Dalmatians II: Patch's London Adventure,48.5
102 Dalmatians,48.645161290322584
10th & Wolf,48.47222222222222
10x10,53.75
11 Minutes (11 Minut),64.0909090909091
11-11-11,38.25
11/8/16,72.0
112 Weddings,64.46428571428571
11:14,70.0
12,67.91304347826087
12 Angry Men,78.75
12 Angry Men (Twelve Angry Men),86.92647058823529
12 O'clock Boys,66.06756756756756
12 Rounds,48.586309523809526
12 Strong,57.23664122137404
12 Years a Slave,82.62260536398468
127 Hours,77.21388888888889
12:08 East of Bucharest (A fost sau n-a fost?),74.84375
13,40.833333333333336
13 Assassins,76.13372093023256
13 Cameras,67.5
13 Ghosts,58.75
13 Going on 30,62.216911764705884
13 Hours: The Secret Soldiers Of Benghazi,56.128125
13 Rue Madeleine,63.75
13 Sins,60.04838709677419
13 Tzameti,71.0204081632653
14 Blades,45.0
14 Cameras,54.0
14 Hours,69.0
1408,66.69890510948905
1492: Conquest of Paradise,49.72222222222222
15 Minutes,56.09090909090909
15 Minutes of War (L'intervention),65.0
15 Years,60.0
16 Acres,66.0
16 Blocks,62.1124031007752
16 Years of Alcohol,63.333333333333336
17 Again,57.39495798319328
17 Girls,60.714285714285715
1776,80.0
18 Again!,45.833333333333336
18 Presents (18 Regali),61.666666666666664
180 South,71.7
1900 (Novecento),63.125
1911,41.52777777777778
1917,78.7023569023569
1922,63.916666666666664
1941,54.583333333333336
1982,70.83333333333333
1984,66.66666666666667
1985,73.96551724137932
1:54,63.333333333333336
1BR,66.93181818181819
"2 Autumns, 3 Winters",68.5
2 Brothers & a Bride,62.8125
2 Days in New York,62.16
2 Days in Paris,68.98353909465021
2 Days in the Valley,60.96774193548387
2 Fast 2 Furious,50.55263157894737
2 Guns,61.59395973154363
2 Jacks,41.36363636363637
2 in the Bush: A Love Story,67.5
2/1,52.5
20 Centimeters (20 Centimetres) (20 centímetros),63.75
20 Feet From Stardom,75.1989247311828
20 Million Miles to Earth,53.5
20 Weeks,65.0
"20,000 Days on Earth",73.0625
"20,000 Leagues Under The Sea",76.92307692307692
2001: A Space Odyssey,90.13333333333334
2010,61.25
2012,53.910353535353536
2016: Obama's America,43.582608695652176
2050,45.0
20th Century Women,75.00845806451613
21,55.05325814536341
21 And Over,42.65555555555556
21 Grams,75.67692307692307
21 Jump Street,70.29768786127168
21 Years: Richard Linklater,54.166666666666664
211,30.96153846153846
22 Bullets,51.875
22 July,66.67307692307692
