movie_title,average_score
!Women Art Revolution,69.33333333333333
#Horror,51.6
#Unfit: The Psychology of Donald Trump,74.08333333333333
$ (Dollars) (The Heist),77.5
$9.99,65.79268292682927
$ellebrity,62.0
'71,71.52970297029702
'Breaker' Morant,79.77272727272727
'R Xmas,61.77777777777778
'Round Midnight,80.0
'X'---The Man With the X-Ray Eyes,62.5
(Untitled),62.416666666666664
*batteries not included,55.666666666666664
+1,67.8125
...And God Spoke (The Making of '...And God Spoke'),71.25
...And Justice for All,67.04166666666667
...So Goes the Nation,67.14285714285714
1 Night (One Night),70.0
"1,000 Times Good Night",61.47435897435897
10,63.92857142857143
10 Cent Pistol,54.375
10 Cloverfield Lane,73.03349282296651
10 MPH,60.0
10 Minutes Gone,30.833333333333332
10 Questions for the Dalai Lama,61.5
10 Rules For Sleeping Around,3.3333333333333335
10 Things I Hate About You,62.64423076923077
10 Years,59.5875
10 to Midnight,40.0
"10,000 B.C.",37.23829201101928
100 Bloody Acres,63.958333333333336
100 Girls,58.7
100 Streets,50.26923076923077
1001 Grams,69.79166666666667
101 Dalmatians,68.42666666666666
101 Dalmatians II: Patch's London Adventure,50.416666666666664
102 Dalmatians,46.47826086956522
10th & Wolf,48.125
10x10,53.75
11 Minutes (11 Minut),64.0909090909091
11-11-11,38.40909090909091
11/8/16,72.0
112 Weddings,64.46428571428571
11:14,67.0
11:55,
12,67.16666666666667
12 Angry Men,73.36363636363636
12 Angry Men (Twelve Angry Men),88.26744186046511
12 O'clock Boys,66.06756756756756
12 Rounds,48.53825136612022
12 Strong,57.23664122137404
12 Years a Slave,82.62260536398468
127 Hours,77.33977900552486
12:08 East of Bucharest (A fost sau n-a fost?),75.1470588235294
13,40.833333333333336
13 Assassins,76.2215909090909
13 Cameras,67.5
13 Ghosts,54.42307692307692
13 Going on 30,62.16
13 Hours: The Secret Soldiers Of Benghazi,56.128125
13 Rue Madeleine,62.5
13 Sins,60.04838709677419
13 Tzameti,71.15384615384616
14 Blades,45.0
14 Cameras,54.0
14 Hours,69.0
1408,66.60251798561151
1492: Conquest of Paradise,44.861111111111114
15 Minutes,54.471830985915496
15 Minutes of War (L'intervention),65.0
15 Years,60.0
16 Acres,66.0
16 Blocks,62.12406015037594
16 Years of Alcohol,63.333333333333336
17 Again,57.42
17 Girls,60.714285714285715
1776,73.07692307692308
18 Again!,42.916666666666664
18 Presents (18 Regali),61.666666666666664
180 South,71.7
1900 (Novecento),63.75
1911,41.52777777777778
1917,78.7023569023569
1922,63.916666666666664
1941,51.59090909090909
1982,70.83333333333333
1984,65.65217391304348
1985,73.96551724137932
1:54,63.333333333333336
1BR,66.93181818181819
"2 Autumns, 3 Winters",68.5
2 Brothers & a Bride,62.5
2 Days in New York,62.648148148148145
2 Days in Paris,69.04263565891473
2 Days in the Valley,60.92391304347826
2 Fast 2 Furious,50.468992248062015
2 Guns,61.59395973154363
2 Jacks,41.36363636363637
2 in the Bush: A Love Story,67.5
2/1,52.5
20 Centimeters (20 Centimetres) (20 centímetros),63.75
20 Feet From Stardom,75.1989247311828
20 Million Miles to Earth,55.125
20 Weeks,65.0
"20,000 Days on Earth",73.0625
"20,000 Leagues Under The Sea",75.78947368421052
2001: A Space Odyssey,90.29508196721312
2010,58.10344827586207
2012,53.67125
2016: Obama's America,43.582608695652176
2050,45.0
20th Century Women,75.00845806451613
21,55.23248792270531
21 And Over,42.54347826086956
21 Grams,75.72260273972603
21 Jump Street,70.29768786127168
21 Years: Richard Linklater,54.166666666666664
